AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
18–24,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Sometimes ,Rarely,Often ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Often,Often ,Often ,Significantly ,facebook,Sometimes ,Moderately ,6,6,7,6.333333333333333,3
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Not at all,Slightly ,Rarely ,Often ,Often ,Rarely,Sometimes ,Sometimes ,Slightly ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Rarely ,Not at all,Slightly ,Rarely ,Sometimes ,Rarely ,Rarely,Sometimes ,Rarely ,Not at all ,linkedin,Rarely ,Not at all ,4,2,1,2.3333333333333335,1
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Sometimes ,Often ,Slightly ,youtube,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Rarely ,Slightly ,Sometimes,Sometimes ,Not at all,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,4,4,1,3.0,2
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,others,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often,Often ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Sometimes ,Moderately ,tiktok,Sometimes ,Slightly ,6,6,3,5.0,2
18–24,Male ,1–3 hours ,Always ,Significantly ,Often,Often ,Moderately,Significantly ,Often ,Always ,Often ,Often,Always ,Often ,Moderately ,snapchat,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,Less than 1 hour ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,youtube,Always ,Moderately ,8,8,7,7.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Sometimes ,Often ,Often ,Always,Often ,Always ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,4,2,3,3.0,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Moderately,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Often ,Often ,Moderately ,linkedin,Often ,Slightly ,4,4,5,4.333333333333333,2
25–34,Female ,1–3 hours ,Always ,Moderately ,Always,Often ,Significantly,Significantly ,Often ,Always ,Always ,Often,Often ,Always ,Moderately ,youtube,Always ,Significantly ,8,6,7,7.0,4
18–24,Female ,1–3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
Below 18,Female ,1–3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Always ,Always ,Always ,Often,Always ,Always ,Significantly ,instagram,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Often ,Significantly,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,6,6,7,6.333333333333333,2
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,4,2,3,3.0,2
18–24,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,2,4,3,3.0,2
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Often ,Sometimes,Often ,Always ,Moderately ,facebook,Sometimes ,Significantly ,2,4,3,3.0,4
Below 18,Male ,More than 3 hours ,Often ,Slightly ,Often,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Always ,Often,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Significantly ,6,6,5,5.666666666666667,4
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Sometimes ,Rarely ,Slightly ,others,Rarely ,Slightly ,4,2,3,3.0,2
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes,Sometimes ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,Less than 1 hour ,Sometimes ,Not at all ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Sometimes ,Rarely ,Rarely,Often ,Rarely ,Slightly ,facebook,Rarely ,Slightly ,2,2,3,2.3333333333333335,2
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Often,Sometimes ,Always ,Significantly ,youtube,Often ,Significantly ,8,6,7,7.0,4
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,4,2,3,3.0,3
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Rarely ,Not at all ,youtube,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,Less than 1 hour ,Rarely ,Slightly ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,instagram,Sometimes ,Slightly ,2,4,3,3.0,2
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Rarely ,Moderately ,facebook,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Q15. How often do you try to limit social media usage during study sessions?,Sometimes ,Slightly ,linkedin,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Often ,Often ,Significantly ,snapchat,Often ,Moderately ,6,8,7,7.0,3
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Always ,Moderately,Significantly ,Often ,Often ,Always ,Always,Often ,Always ,Significantly ,youtube,Often ,Significantly ,8,8,5,7.0,4
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Always ,Moderately ,8,6,5,6.333333333333333,3
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Sometimes ,Often,Sometimes ,Sometimes ,Slightly ,linkedin,Often ,Slightly ,4,6,3,4.333333333333333,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Slightly,Moderately ,Often ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,linkedin,Often ,Moderately ,6,4,3,4.333333333333333,3
25–34,Male ,More than 3 hours ,Always ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,8,7,7.0,4
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Sometimes ,Sometimes ,Slightly ,snapchat,Sometimes ,Slightly ,4,2,3,3.0,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Slightly,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Sometimes ,Moderately ,instagram,Sometimes ,Not at all ,6,4,3,4.333333333333333,1
18–24,Male ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Often ,Often ,Often ,Often,Always ,Always ,Significantly ,instagram,Always ,Significantly ,6,6,5,5.666666666666667,4
25–34,Female ,1–3 hours ,Always ,Significantly ,Always,Sometimes ,Significantly,Significantly ,Rarely ,Sometimes ,Often ,Always,Sometimes ,Sometimes ,Moderately ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes,Rarely ,Not at all,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,snapchat,Sometimes ,Not at all ,4,4,1,3.0,1
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,4,2,3,3.0,3
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often,Rarely ,Slightly,Significantly ,Often ,Sometimes ,Often ,Often,Often ,Often ,Significantly ,youtube,Rarely ,Significantly ,6,6,3,5.0,4
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Significantly ,Always ,Always ,Always ,Always,Always ,Rarely ,Significantly ,facebook,Rarely ,Significantly ,2,8,1,3.6666666666666665,4
18–24,Male ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Moderately ,youtube,Often ,Moderately ,6,8,5,6.333333333333333,3
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Rarely,Often ,Moderately,Slightly ,Always ,Sometimes ,Rarely ,Sometimes,Sometimes ,Rarely ,Slightly ,facebook,Sometimes ,Moderately ,2,4,5,3.6666666666666665,3
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Moderately,Moderately ,Rarely ,Sometimes ,Often ,Often,Rarely ,Sometimes ,Slightly ,twitter,Always ,Significantly ,2,6,5,4.333333333333333,4
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Always ,Always,Often ,Always ,Significantly ,facebook,Always ,Significantly ,6,8,5,6.333333333333333,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Often ,Often ,Moderately ,facebook,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often,Always ,Significantly,Significantly ,Always ,Often ,Often ,Often,Sometimes ,Often ,Significantly ,facebook,Often ,Significantly ,6,6,7,6.333333333333333,4
18–24,Male ,Less than 1 hour ,Always ,Significantly ,Always,Often ,Significantly,Moderately ,Often ,Always ,Always ,Often,Often ,Always ,Slightly ,facebook,Always ,Significantly ,8,6,7,7.0,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Significantly,Moderately ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,7,7.0,4
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Always ,Moderately ,8,6,5,6.333333333333333,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,facebook,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Significantly ,Always ,Always ,Always ,Always,Always ,Rarely ,Significantly ,facebook,Rarely ,Significantly ,2,8,1,3.6666666666666665,4
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Significantly ,4,8,7,6.333333333333333,4
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Slightly ,Always ,Often ,Always ,Often,Always ,Often ,Significantly ,tiktok,Often ,Significantly ,4,6,5,5.0,4
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Always ,Significantly ,instagram,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Always ,Often ,Often ,Always,Often ,Always ,Significantly ,tiktok,Often ,Moderately ,6,8,7,7.0,3
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Always ,Often ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Significantly,Moderately ,Sometimes ,Rarely ,Rarely ,Rarely,Rarely ,Sometimes ,Significantly ,facebook,Rarely ,Moderately ,6,2,7,5.0,3
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Significantly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,1–3 hours ,Sometimes ,Significantly ,Always,Always ,Slightly,Significantly ,Always ,Sometimes ,Sometimes ,Often,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Significantly ,8,6,3,5.666666666666667,4
18–24,Male ,1–3 hours ,Always ,Moderately ,Often,Always ,Significantly,Moderately ,Always ,Often ,Always ,Always,Always ,Always ,Moderately ,facebook,Often ,Moderately ,6,8,7,7.0,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Sometimes ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Always,Always ,Moderately,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,tiktok,Rarely ,Moderately ,8,8,5,7.0,3
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Moderately ,youtube,Always ,Significantly ,4,6,3,4.333333333333333,4
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,tiktok,Often ,Slightly ,6,6,5,5.666666666666667,2
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Sometimes ,Rarely ,Slightly ,others,Rarely ,Slightly ,4,2,3,3.0,2
18–24,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Moderately ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Always ,Significantly,Significantly ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,instagram,Often ,Significantly ,6,6,7,6.333333333333333,4
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes,Often ,Not at all,Significantly ,Rarely ,Sometimes ,Often ,Always,Always ,Rarely ,Slightly ,tiktok,Sometimes ,Significantly ,4,8,1,4.333333333333333,4
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes,Always ,Often ,Not at all ,instagram,Rarely ,Moderately ,2,4,1,2.3333333333333335,3
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Male ,Less than 1 hour ,Sometimes ,Slightly ,Often,Rarely ,Not at all,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,facebook,Sometimes ,Slightly ,6,4,1,3.6666666666666665,2
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,linkedin,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Significantly,Moderately ,Sometimes ,Often ,Sometimes ,Sometimes,Sometimes ,Rarely ,Significantly ,facebook,Always ,Slightly ,4,4,7,5.0,2
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Often ,Always,Often ,Often ,Significantly ,tiktok,Always ,Slightly ,6,8,5,6.333333333333333,2
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Often ,Always,Often ,Often ,Significantly ,tiktok,Always ,Slightly ,6,8,5,6.333333333333333,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,Less than 1 hour ,Often ,Not at all ,Rarely,Rarely ,Slightly,Slightly ,Always ,Sometimes ,Sometimes ,Rarely,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Moderately ,2,2,3,2.3333333333333335,3
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Rarely ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,2,3,3.0,2
18–24,Other ,More than 3 hours ,Sometimes ,Moderately ,Rarely,Rarely ,Not at all,Slightly ,Often ,Rarely ,Rarely ,Sometimes,Always ,Often ,Significantly ,instagram,Often ,Significantly ,2,4,1,2.3333333333333335,4
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Always ,Often ,Significantly ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Often,Often ,Often ,Significantly ,facebook,Sometimes ,Moderately ,6,6,7,6.333333333333333,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,facebook,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Slightly,Moderately ,Sometimes ,Sometimes ,Sometimes ,Often,Sometimes ,Sometimes ,Moderately ,facebook,Rarely ,Moderately ,6,6,3,5.0,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Moderately ,Sometimes ,Often ,Often ,Sometimes,Often ,Often ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
25–34,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes,Always ,Moderately,Moderately ,Always ,Always ,Often ,Often,Often ,Sometimes ,Not at all ,facebook,Often ,Moderately ,4,6,5,5.0,3
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,1–3 hours ,Often ,Slightly ,Often,Sometimes ,Moderately,Significantly ,Always ,Sometimes ,Often ,Often,Often ,Sometimes ,Slightly ,instagram,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Rarely ,Moderately,Slightly ,Sometimes ,Often ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
